name,cls
C1=CC=C(C(=C1)C(=O)NN=CC2=CC(=CC=C2)[N+](=O)[O-])N,1
C1=CC=C(C=C1)C(C2=NC3=CC=CC=C3N2)N(CC4=CN=CC=C4)C(=O)C5=CC=CO5,1
C1=CC(=CC(=C1)[N+](=O)[O-])COC2=CC=C(C=C2)CO,1
C1=CC=C2C(=C1)C=CN3C2=NC(=C3CC4=CC(=CC=C4)Cl)C5=CC=CO5,1
C1C[C@@]2(C=C(C(=O)[C@]([C@@H]1O)([C@H]2O)SC3=CC=CC=C3)SC4=CC=CC=C4)O,1
C1COCCN1C(=O)C2=NC(=C3[C@H](N(CC3=C2)C(=O)C4=CC5=C(C=C4)OCO5)CCO)C6=CC=CC(=C6)C7=CC=NC=C7,1
CC1=CC(=NC2=NC(=C(N12)NC3CCCC3)C4=CC5=CC=CC=C5O4)C,1
CC(C)(C)NC(=O)C(CCC1=CC=CC=C1)N2C3=CC=CC=C3N=C(C2=O)C4=CC=CC=C4,1
CC(=O)N1C(C(=NC2=CC=CC=C21)C3=CC4=C(C=C3)OCO4)C(=O)NC5=CC=C(C=C5)OC,1
C1=CC=C(C=C1)C(C2=NC3=CC=CC=C3N2)N4C5=CC=CC=C5N=C(C4=O)C6=CC=CO6,1
CC1=C(C=CO1)C(=O)N/N=C(/C)\C2=CC=CS2,1
CC(=O)OC1=C(C=C(C=C1)C=NN2C(=NNC2=S)C3=CC(=NN3)C4=CC=CC=C4)OC,1
C1CC(C1)NC(=O)C2=[N+](C=C(C=C2)C#CC3CC3)[O-],1
CC(C)CSC1=NN=C(N1C)C2=CC=CO2,1
CCC1=CC=CC=C1N=NC2=C(NN(C2=O)C3=CC=CC=C3)N,1
CN1C2=CC=CC=C2N=C1SC3=CS(=O)(=O)C4=CC=CC=C43,1
CN(C)CC(C1=CC=CC=C1)C(=O)C2=CC=CC=C2.Cl,1
C1=CC=C(C=C1)/C=C(/C=N/N2C(=NN=N2)N)\Br,1
CC1=NON=C1NC(=O)CSC2=NC(=NC3=CC=CC=C32)C4CCCCC4,1
C1CCN(C1)C2=NC(=NC3=CC=CC=C32)NC4=CC=C(C=C4)O.Cl,1
C1CCC(CC1)N2C(=C(C3=NC4=CC=CC=C4N=C32)C#N)N,1
C1CCC2(CC1)C(=C(NC(=C2C#N)SCC3=CC=C(C=C3)F)N)C#N,1
C1CCN(CC1)C2=NC=NC3=C2C=C(C=C3Br)Br,1
C1=CC=C(C=C1)CN2C3=C(C4=NC5=CC=CC=C5N=C42)C(=O)N(C=N3)CC6=CC=CO6,1
CC1=CC2=C(C(=O)O1)S/C(=C(\C(=O)OC)/C(F)(F)F)/O2,1
C1=CC=C(C=C1)CN2C(=C(C3=C2N=CN(C3=N)CCCN4C=CN=C4)C5=CC=CC=C5)C6=CC=CC=C6,1
CCCC1=CC(=C(C=C1O)O)C2=C(C=NN2)C3=CC4=C(C=C3)OCCCO4,1
CCC1=NC2=C(C(=N1)NC3=CC=NC=C3)OC4=CC=CC=C42.Cl,1
CN1CC2=CC3=CC=CC=C3OC24C(=CC5=CC=CC=C5O4)C1,1
COC1=CC=CC=C1OC2=C(C=C(C(=C2)C#N)C#N)N3C4=CC=CC=C4N=N3,1
COC1=CC=C(C=C1)C2=C(OC3=NC=NC(=C23)NCCN4CCOCC4)C5=CC=C(C=C5)OC,1
CC1=C(SC2=C1C(=NC=N2)SC3=NN=NN3C4=CC=C(C=C4)Cl)C,1
CC1(CC2=CC(=C(C=C2C(=N1)SC)O)OC)C,1
CC(=O)CC1C(=C(C(=O)O1)Br)NCC2=CC=CC=C2,1
CCN1CCCC1CNC(=O)C2CCN(CC2)CC3=C(OC(=N3)C4=CC(=CC=C4)Br)C,1
CC1=NC2=CC=CC=C2N1C3=NC(=CC(=N3)C(F)(F)F)C4=CC=CO4,1
C1CCC(CC1)N2C(=C(C(=O)N(C2=O)C3CCCCC3)C(=N)N)O,1
CN1CCN(CC1)C2=NC(=CC(=N2)C3=CC=C(C=C3)F)C4=CC=C(C=C4)OC,1
CCC(C(=O)N1CCOCC1)SC2=NC3=NNC(=C3C(=N)N2C4=CC(=C(C=C4)C)Cl)C,1
C1COCCN1CCCNC(=O)C2=NOC(=C2)C3=CC=C(C=C3)Br,1
COC1=CC=C(C=C1)NC2=C(N=C(O2)COC3=CC=C(C=C3)Cl)C#N,1
COC1=CC2=NC3=C(C=C2C=C1)C(=NN3C(=O)CC4=CC=CC=C4OC)N,1
CC1CC(CN(C1)S(=O)(=O)C2=CC3=C(C=C2)OC(=C3C)C(=O)NCC4CCCO4)C,1
CCN(CC)CCNC(=O)C1=CC2=C(S1)N(N=C2C3=CC=C(C=C3)Cl)C,1
COC1=C2C(=C(C=C1)OC)SC(=N2)NC(=O)CCS(=O)(=O)C3=CC=CC=C3,1
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)CN3CCC4=CC=CC=C4C3)CC5=CC(=CC=C5)Cl,1
CC1(C2(CCC1(OC2=O)C(=O)NC3=CC4=C(C=C3)OCCO4)C)C,1
CC1=CC=C(C=C1)/C=C/C2C(C(C2(OC)OC)(OC)OC)(C#N)C#N,1
C1=CC(=CC=C1C(=O)CN2C(=O)C(=C(C=N2)Cl)Cl)Cl,1
CC1=CC2=C(CSC(SC2)C3=C(C=CC4=CC=CC=C43)O)C=C1C,1
CCCCOC1=CC=C(C=C1)C(=O)C(CN2CCOCC2)C3=CC=CC=C3,1
CCCOC1=CC=C(C=C1)C(=O)C(CN2CCOCC2)C3=CC=CC=C3,1
CCN1C(=NC2=CC=CC=C2C1=O)/C=C/C3=CC=C(O3)[N+](=O)[O-],1
C1=CC=C2C(=C1)N=C(S2)SCCS(=O)(=O)C3=NC4=CC=CC=C4S3,1
C=CCSC(=C(C#N)C#N)C1=CC2=C(N1)CCCC2,1
CN1C(=NC2=CC=CC=C2C1=O)/C=C/C3=CC=C(O3)[N+](=O)[O-],1
CN1C2=C(C=C(C=C2)NC(=O)CCl)N(C1=O)C,1
C1CC1C2=NC3=C(C=C(C=C3)Br)C(=C2)C(=O)N4C(CC(=N4)C(F)F)(C(F)F)O,1
CC1=NOC2=C1C(=NC=N2)SC3=C(C=CC=C3Cl)Cl,1
CCOC(=O)C1=C(N=C(N=N1)C2=CC=CC=C2)SC3=CC=CC=C3Cl,1
CCOC(=O)C1=C(N=C(N=N1)C2=CC=CC=C2)SC3=C(C=CC=C3Cl)Cl,1
CC1=CC(=NC(=N1)NCC2=CC=CC=C2)N3CCCCC3,1
CCCOC1=CC=C(C=C1)C(=O)C(CN2CCCC2)C3=CC=CC=C3.Cl,1
CN1C(=NN=C1SC)C2=C(C3=C(S2)C=C(C=N3)C(F)(F)F)C4=CC=CC=C4,1
C1=CC=C(C=C1)/C=C\2/C(=C(C(=O)O2)C#N)C3=CC=CC=C3,1
CN1CN(CSC1=S)CCOC2=CC=CC=C2OC,1
